EmployeeID,Age,Satisfaction_Score,Performance_Score,Tenure,Commute_Distance,Last_Promotion,Decision_to_Leave,Gender_Male,Ethnicity_Asian,Ethnicity_Caucasian,Ethnicity_Hispanic,Ethnicity_Indigenous,Ethnicity_Other
E1051,63,10,7,147,95,6,1,0,0,0,0,0,1
E1052,27,7,9,238,81,28,1,1,0,0,0,0,1
E1053,54,4,8,11,97,54,1,1,0,0,1,0,0
E1054,33,4,8,98,75,30,1,0,0,0,0,1,0
E1055,36,8,6,178,92,24,0,1,0,1,0,0,0
E1056,55,8,4,71,96,37,1,0,0,1,0,0,0
E1057,59,2,8,108,65,13,1,1,1,0,0,0,0
E1058,23,2,3,58,47,7,1,1,0,0,0,0,1
E1059,21,3,9,34,92,26,1,1,0,1,0,0,0
E1060,25,3,2,20,53,53,1,1,0,0,1,0,0
E1061,61,1,2,50,71,1,1,1,0,0,0,0,1
E1062,23,3,7,102,2,16,1,1,0,0,1,0,0
E1063,48,6,10,216,24,36,0,1,0,1,0,0,0
E1064,37,8,4,138,4,13,1,0,0,1,0,0,0
E1065,45,10,10,160,19,24,0,0,1,0,0,0,0
E1066,63,6,8,52,26,55,0,0,0,1,0,0,0
E1067,53,5,9,15,75,29,0,0,0,0,0,0,1
E1068,29,4,7,229,40,28,1,0,0,0,0,0,1
E1069,55,3,5,84,50,19,1,1,0,0,0,0,1
E1070,33,4,8,131,43,20,1,1,1,0,0,0,0
E1071,50,7,4,37,75,52,0,0,1,0,0,0,0
E1072,34,1,2,126,67,21,1,1,0,1,0,0,0
E1073,27,7,6,40,12,34,1,0,0,0,0,0,0
E1074,33,1,9,72,67,36,1,0,0,0,0,0,0
E1075,42,2,1,40,27,15,1,1,1,0,0,0,0
E1076,59,4,10,236,54,49,1,1,0,1,0,0,0
E1077,40,1,7,56,66,57,0,1,0,0,0,0,0
E1078,35,9,10,151,49,48,0,0,0,1,0,0,0
E1079,64,6,9,104,16,42,1,1,0,1,0,0,0
E1080,37,1,10,139,2,16,1,0,0,1,0,0,0
E1081,43,1,9,110,60,15,0,0,0,0,0,1,0
E1082,45,6,10,192,54,57,0,0,0,0,0,0,1
E1083,44,4,3,136,30,54,1,1,0,1,0,0,0
E1084,64,4,5,93,84,1,1,1,0,0,0,1,0
E1085,60,6,8,94,38,3,0,0,1,0,0,0,0
E1086,48,7,8,56,28,20,1,1,0,0,0,0,0
E1087,34,9,4,60,25,38,1,1,0,0,0,0,1
E1088,64,10,1,138,96,33,1,1,0,0,0,0,0
E1089,20,5,1,39,10,29,1,0,0,0,0,0,1
E1090,44,9,4,28,60,5,1,0,0,0,0,0,0
E1091,26,4,6,49,42,16,1,1,0,0,0,0,1
E1092,28,10,8,164,40,38,0,0,0,0,0,0,0
E1093,43,2,6,125,97,24,0,1,0,0,0,0,0
E1094,20,3,9,13,77,4,1,1,0,0,0,0,0
E1095,63,1,9,224,42,4,0,1,0,0,0,0,0
E1096,27,6,2,36,47,19,1,1,1,0,0,0,0
E1097,43,6,10,101,37,15,1,0,0,1,0,0,0
E1098,30,1,1,26,80,50,0,0,0,0,1,0,0
E1099,36,3,2,86,22,40,0,0,0,0,0,1,0
E1100,27,5,5,4,57,36,1,1,0,0,1,0,0
E1101,54,3,4,223,84,39,1,1,0,0,1,0,0
E1102,54,10,4,82,27,8,1,1,0,0,0,0,1
E1103,52,3,9,192,41,4,0,0,0,1,0,0,0
E1104,24,10,8,166,80,41,0,1,0,0,0,0,1
E1105,61,3,6,127,34,56,1,0,0,1,0,0,0
E1106,58,5,1,88,32,1,1,0,0,1,0,0,0
E1107,60,5,2,127,90,8,1,0,0,0,0,0,0
E1108,47,4,6,120,89,42,0,0,1,0,0,0,0
E1109,26,1,2,215,66,35,1,0,0,0,0,0,0
E1110,28,5,10,22,12,21,0,0,1,0,0,0,0
E1111,27,10,5,130,40,21,1,1,0,0,0,0,1
E1112,31,5,5,31,73,21,0,1,1,0,0,0,0
E1113,53,4,6,119,76,33,0,0,0,0,0,0,1
E1114,52,6,6,11,90,54,1,0,0,0,1,0,0
E1115,42,10,6,220,73,28,0,1,0,0,1,0,0
E1116,43,4,2,46,10,37,1,0,1,0,0,0,0
E1117,56,7,10,96,96,58,1,0,1,0,0,0,0
E1118,54,7,3,190,98,45,0,1,0,0,0,0,1
E1119,63,2,6,197,48,32,1,0,0,0,0,0,0
E1120,59,3,8,192,20,17,0,0,0,0,0,0,1
E1121,41,1,1,230,39,6,1,0,0,0,0,0,0
E1122,46,8,1,10,60,0,1,1,0,0,1,0,0
E1123,54,9,2,168,66,32,1,1,0,1,0,0,0
E1124,20,4,6,128,65,0,1,1,1,0,0,0,0
E1125,54,6,9,238,51,23,0,0,0,0,0,0,0
E1126,56,9,4,152,36,3,0,0,0,0,0,0,1
E1127,33,6,3,99,24,3,1,1,0,0,1,0,0
E1128,22,9,8,172,27,17,0,0,0,0,0,0,0
E1129,20,4,10,112,2,26,1,0,0,0,0,0,1
E1130,24,8,9,60,31,42,0,0,1,0,0,0,0
E1131,45,9,5,190,57,58,1,0,1,0,0,0,0
E1132,33,4,9,87,78,31,1,0,0,0,0,1,0
E1133,58,5,2,145,66,32,1,1,0,1,0,0,0
E1134,46,8,3,65,29,27,1,0,0,0,0,1,0
E1135,28,10,7,223,15,41,1,1,0,0,1,0,0
E1136,34,6,7,223,12,40,1,0,0,0,0,0,0
E1137,34,7,6,234,28,54,0,1,0,0,1,0,0
E1138,45,3,6,57,84,35,1,0,0,0,0,0,1
E1139,61,7,2,183,24,59,0,1,1,0,0,0,0
E1140,32,8,10,106,21,5,1,0,0,0,0,1,0
E1141,51,10,6,181,10,15,1,1,0,0,0,1,0
E1142,58,6,4,184,78,33,1,0,0,0,0,1,0
E1143,51,10,3,226,18,22,0,1,0,0,1,0,0
E1144,23,9,2,9,88,49,1,0,1,0,0,0,0
E1145,49,6,1,22,14,41,1,1,0,0,0,0,0
E1146,56,9,5,141,34,23,0,1,0,0,0,0,1
E1147,42,4,2,89,58,55,1,0,0,0,0,0,0
E1148,58,8,2,176,76,48,1,0,0,0,1,0,0
E1149,64,4,7,18,22,12,1,1,0,0,0,0,1
E1150,34,2,8,115,70,55,1,0,0,0,0,1,0
E1151,62,10,10,204,36,17,1,1,0,1,0,0,0
E1152,48,9,8,168,45,53,0,1,0,0,1,0,0
E1153,55,5,4,145,36,12,1,1,0,0,1,0,0
E1154,32,4,1,143,22,48,0,0,1,0,0,0,0
E1155,51,2,7,106,78,36,1,1,0,0,0,0,0
E1156,26,1,1,15,80,42,1,1,0,0,1,0,0
E1157,41,7,4,207,61,38,1,0,0,0,1,0,0
E1158,47,6,8,63,100,41,1,0,0,0,0,1,0
E1159,21,2,2,167,56,16,1,0,0,0,0,1,0
E1160,61,8,6,13,89,14,1,0,0,0,0,0,1
E1161,64,4,6,81,96,17,1,1,0,1,0,0,0
E1162,25,8,9,32,33,22,0,1,1,0,0,0,0
E1163,47,7,5,137,45,53,0,1,0,1,0,0,0
E1164,47,5,10,40,36,50,1,1,0,0,0,0,1
E1165,63,10,4,148,20,29,1,0,0,0,0,1,0
E1166,63,10,5,218,18,57,0,1,0,0,0,0,0
E1167,39,8,10,219,38,33,1,1,0,0,0,1,0
E1168,49,9,5,213,67,57,1,0,1,0,0,0,0
E1169,30,5,8,82,23,3,0,1,0,0,0,1,0
E1170,47,10,10,77,96,2,0,1,1,0,0,0,0
E1171,44,5,8,208,16,6,1,1,1,0,0,0,0
E1172,58,2,2,201,59,55,1,1,1,0,0,0,0
E1173,52,5,7,191,69,17,1,1,0,0,0,0,1
E1174,20,3,8,76,68,41,1,1,1,0,0,0,0
E1175,46,7,6,172,21,6,1,0,1,0,0,0,0
E1176,32,10,5,38,78,39,1,0,0,0,0,0,0
E1177,60,5,9,211,95,5,0,1,0,1,0,0,0
E1178,22,8,3,188,78,21,1,1,0,0,1,0,0
E1179,58,1,10,71,70,57,0,0,0,1,0,0,0
E1180,25,3,4,227,12,0,1,1,1,0,0,0,0
E1181,27,3,9,48,16,3,0,1,0,0,0,0,0
E1182,46,9,6,18,81,45,0,1,0,0,0,1,0
E1183,28,5,8,144,87,48,1,0,0,0,0,0,0
E1184,56,9,7,183,14,51,1,1,1,0,0,0,0
E1185,52,9,2,39,61,49,1,0,0,0,0,0,0
E1186,61,1,3,196,71,42,0,1,0,0,0,0,0
E1187,63,2,1,187,46,28,1,0,1,0,0,0,0
E1188,43,5,9,89,32,20,1,0,0,0,0,0,1
E1189,34,4,7,224,15,25,1,1,0,0,0,0,0
E1190,51,10,1,62,44,13,0,0,0,0,1,0,0
E1191,51,9,3,232,17,8,1,1,0,0,1,0,0
E1192,43,7,4,141,41,58,1,0,0,0,0,0,0
E1193,60,6,4,109,54,46,1,1,0,0,0,0,1
E1194,31,7,5,81,44,11,1,1,0,0,0,1,0
E1195,58,1,3,229,98,41,1,0,1,0,0,0,0
E1196,21,1,3,134,5,50,0,1,0,0,1,0,0
E1197,22,8,1,211,27,55,1,1,0,0,0,1,0
E1198,56,2,7,77,87,50,1,0,0,0,0,0,0
E1199,36,10,10,188,78,5,0,1,0,0,0,1,0
E1200,21,9,1,90,79,19,1,1,0,1,0,0,0
E1201,21,7,2,14,43,23,0,0,0,0,1,0,0
E1202,47,6,4,95,97,26,1,0,0,0,0,0,0
E1203,42,1,4,54,31,37,1,1,1,0,0,0,0
E1204,56,1,5,132,99,7,1,1,0,0,0,0,1
E1205,51,2,2,39,17,0,1,0,0,0,0,0,0
E1206,52,6,4,72,92,53,0,0,1,0,0,0,0
E1207,20,6,1,25,83,48,1,1,0,0,0,0,1
E1208,38,2,2,77,54,48,1,0,0,0,0,0,1
E1209,21,1,1,160,62,23,1,1,0,0,0,0,0
E1210,63,10,10,187,87,46,1,1,0,0,0,1,0
E1211,45,5,10,230,32,6,0,1,0,0,0,1,0
E1212,51,5,4,191,40,18,0,1,0,0,0,0,1
E1213,25,2,4,166,13,21,1,1,0,0,0,1,0
E1214,51,6,7,120,84,56,1,0,0,1,0,0,0
E1215,23,9,10,220,35,54,1,0,0,0,0,0,1
E1216,30,2,9,53,5,59,1,0,0,0,0,0,1
E1217,36,10,9,222,73,34,0,0,1,0,0,0,0
E1218,57,2,5,195,29,29,1,1,0,0,0,1,0
E1219,43,3,10,156,70,28,0,1,0,0,0,0,1
E1220,24,7,1,131,25,21,1,1,0,1,0,0,0
E1221,53,6,1,237,95,10,1,1,1,0,0,0,0
E1222,25,8,6,226,22,19,1,0,0,0,0,0,0
E1223,41,8,2,208,66,28,0,1,0,0,0,0,1
E1224,30,6,8,150,45,50,1,1,0,1,0,0,0
E1225,35,10,9,96,69,40,1,0,0,0,1,0,0
E1226,52,3,4,166,91,41,0,0,0,1,0,0,0
E1227,28,3,5,200,89,33,1,0,0,1,0,0,0
E1228,25,1,8,72,72,0,0,0,1,0,0,0,0
E1229,35,7,3,62,1,30,0,1,0,0,0,0,0
E1230,48,5,5,185,84,29,1,1,0,0,1,0,0
E1231,22,4,3,6,44,47,1,0,0,0,0,1,0
E1232,39,10,10,206,87,17,0,1,0,0,0,1,0
E1233,55,4,3,32,96,54,1,1,0,1,0,0,0
E1234,38,4,3,99,75,57,1,1,1,0,0,0,0
E1235,45,6,7,138,39,16,0,0,1,0,0,0,0
E1236,22,8,7,131,54,37,0,1,0,0,0,1,0
E1237,38,8,7,187,88,13,1,0,0,0,1,0,0
E1238,39,5,10,76,75,22,1,1,0,0,0,0,0
E1239,51,6,8,177,29,24,0,1,0,0,1,0,0
E1240,26,4,5,59,54,14,1,1,0,0,0,0,1
E1241,60,9,5,31,90,45,0,0,0,0,0,0,1
E1242,52,8,4,93,16,55,0,1,0,0,0,0,0
E1243,59,10,7,69,99,21,0,0,0,0,0,1,0
E1244,58,10,10,190,20,2,1,0,0,0,0,0,0
E1245,37,1,4,52,46,55,1,0,1,0,0,0,0
E1246,59,2,2,89,67,54,1,1,0,0,0,0,1
E1247,20,9,4,127,65,18,0,1,0,1,0,0,0
E1248,30,8,8,169,58,56,1,1,0,1,0,0,0
E1249,47,3,9,31,53,43,1,1,0,0,0,1,0
E1250,44,8,3,213,1,33,1,0,1,0,0,0,0
E1251,42,1,7,84,81,34,1,0,0,0,1,0,0
E1252,50,10,9,231,66,49,0,0,1,0,0,0,0
E1253,49,4,4,127,29,0,1,1,0,1,0,0,0
E1254,61,3,10,150,84,51,1,0,0,1,0,0,0
E1255,54,6,3,132,70,20,1,1,0,0,0,0,1
E1256,26,7,5,13,8,28,1,0,1,0,0,0,0
E1257,35,4,1,45,29,5,1,1,1,0,0,0,0
E1258,45,7,3,127,51,36,0,1,0,1,0,0,0
E1259,21,9,8,170,33,0,1,0,0,0,1,0,0
E1260,20,2,8,114,3,50,0,0,0,0,0,1,0
E1261,31,3,4,177,60,0,1,0,0,0,0,1,0
E1262,24,5,2,20,35,26,1,0,1,0,0,0,0
E1263,56,3,8,205,69,20,1,1,0,0,0,1,0
E1264,51,8,8,81,91,52,1,0,0,1,0,0,0
E1265,28,10,10,182,76,15,0,0,0,1,0,0,0
E1266,60,8,4,164,84,43,1,0,1,0,0,0,0
E1267,54,8,3,225,20,58,1,1,1,0,0,0,0
E1268,38,9,2,129,73,53,1,1,0,0,0,0,1
E1269,35,4,9,143,39,39,1,0,1,0,0,0,0
E1270,22,5,1,205,4,25,1,1,0,0,1,0,0
E1271,39,5,7,17,19,15,0,0,0,0,0,1,0
E1272,43,8,5,152,91,27,1,1,1,0,0,0,0
E1273,52,7,8,58,45,0,0,1,0,0,0,0,0
E1274,43,9,4,72,43,35,1,1,0,0,0,0,1
E1275,30,8,7,219,13,9,0,1,0,0,0,0,0
E1276,27,2,5,109,13,42,0,0,0,1,0,0,0
E1277,55,10,5,23,60,16,1,0,0,0,0,1,0
E1278,57,4,9,174,57,56,0,0,1,0,0,0,0
E1279,59,6,9,72,86,58,1,1,0,0,0,0,0
E1280,39,2,9,8,92,22,1,0,0,0,0,1,0
E1281,54,7,6,59,52,6,0,0,0,1,0,0,0
E1282,44,3,6,218,53,43,1,0,0,0,1,0,0
E1283,54,3,5,111,86,52,1,1,0,0,0,0,1
E1284,44,2,9,187,43,6,0,1,0,0,0,1,0
E1285,48,8,10,13,83,43,1,1,0,0,0,1,0
E1286,37,6,8,167,72,14,1,0,0,0,1,0,0
E1287,37,1,7,229,72,33,1,0,0,0,0,1,0
E1288,21,1,7,156,42,45,1,0,0,1,0,0,0
E1289,54,7,6,217,90,44,1,1,0,1,0,0,0
E1290,35,8,5,189,26,3,1,1,0,0,1,0,0
E1291,60,5,4,16,23,13,1,0,0,0,0,0,1
E1292,55,5,3,119,43,13,1,1,1,0,0,0,0
E1293,52,4,3,2,77,15,1,1,0,0,0,0,0
E1294,23,6,6,210,28,6,0,1,1,0,0,0,0
E1295,52,6,4,145,9,31,0,1,0,0,0,1,0
E1296,33,3,6,30,20,18,1,0,0,0,0,0,0
E1297,40,9,3,103,56,1,0,1,0,0,1,0,0
E1298,39,7,4,13,83,9,0,1,0,0,1,0,0
E1299,27,1,9,96,39,49,1,1,0,0,0,0,1
E1300,26,7,5,221,51,16,0,1,0,0,0,0,0
E1301,22,5,7,238,12,36,1,0,0,1,0,0,0
E1302,36,5,10,94,79,11,0,0,0,0,0,0,0
E1303,52,2,2,82,95,5,1,1,0,0,0,1,0
E1304,31,4,5,13,55,21,1,1,0,1,0,0,0
E1305,41,6,9,171,78,31,1,1,0,0,1,0,0
E1306,41,10,3,213,11,40,1,1,0,0,0,0,0
E1307,49,7,9,94,26,19,0,1,1,0,0,0,0
E1308,57,5,6,149,42,0,0,1,0,0,0,0,1
E1309,57,9,4,112,27,53,1,0,1,0,0,0,0
E1310,64,3,7,55,11,46,1,1,0,0,0,0,1
E1311,27,1,8,81,38,52,0,0,0,0,0,1,0
E1312,46,4,6,168,98,57,1,0,1,0,0,0,0
E1313,46,9,5,211,43,5,1,1,0,0,0,0,0
E1314,53,4,6,116,19,18,1,0,0,0,0,0,0
E1315,40,2,5,143,64,17,1,0,1,0,0,0,0
E1316,49,10,8,201,6,5,1,0,0,0,0,0,0
E1317,52,5,1,180,46,44,1,0,0,0,0,1,0
E1318,47,3,7,202,42,32,1,0,0,1,0,0,0
E1319,52,9,10,108,92,22,0,0,0,0,0,1,0
E1320,24,4,10,223,65,22,1,1,0,0,0,0,1
E1321,38,6,2,53,99,25,1,0,0,0,0,1,0
E1322,23,2,9,215,72,12,0,0,0,0,0,0,1
E1323,54,6,1,128,59,6,1,0,0,0,0,0,0
E1324,36,3,10,180,52,14,0,1,0,1,0,0,0
E1325,63,9,6,158,47,43,1,0,0,0,0,0,0
E1326,47,2,9,161,7,26,1,1,0,0,1,0,0
E1327,49,9,1,57,11,25,0,0,0,0,0,0,0
E1328,48,5,4,52,61,32,1,1,0,0,0,0,1
E1329,25,8,4,137,68,14,1,1,0,0,0,0,0
E1330,54,2,9,182,25,35,1,0,0,0,0,0,0
E1331,60,6,5,111,12,44,1,0,0,1,0,0,0
E1332,56,3,5,1,26,54,1,1,0,0,0,0,0
E1333,43,10,6,44,12,26,1,0,0,1,0,0,0
E1334,48,5,1,227,43,56,0,1,1,0,0,0,0
E1335,50,8,1,75,51,4,1,1,0,0,1,0,0
E1336,54,10,9,98,37,1,1,1,0,1,0,0,0
E1337,52,1,3,208,46,54,0,1,0,0,0,0,1
E1338,40,5,4,9,53,57,0,1,1,0,0,0,0
E1339,51,3,1,32,88,32,0,0,0,1,0,0,0
E1340,42,4,9,15,80,15,0,1,0,1,0,0,0
E1341,52,2,8,140,13,22,1,1,0,0,1,0,0
E1342,22,9,2,225,89,37,1,0,0,0,0,0,1
E1343,37,3,8,237,54,54,0,1,0,0,0,1,0
E1344,44,2,7,206,57,15,0,0,0,0,0,1,0
E1345,61,10,6,185,4,13,1,0,0,1,0,0,0
E1346,50,9,1,136,75,28,1,0,0,0,0,0,0
E1347,22,7,7,72,96,25,1,1,0,0,0,0,1
E1348,59,6,10,155,49,34,0,1,1,0,0,0,0
E1349,43,1,7,190,7,14,0,1,0,0,0,0,0
E1350,51,5,9,12,11,2,1,0,0,0,0,0,0
E1351,41,3,1,65,92,22,1,1,0,0,0,0,1
E1352,42,1,2,107,54,28,1,0,0,1,0,0,0
E1353,21,4,9,232,87,33,1,1,0,1,0,0,0
E1354,46,2,9,42,45,32,0,0,0,1,0,0,0
E1355,61,2,6,190,23,40,1,1,0,1,0,0,0
E1356,21,3,6,115,28,40,0,1,0,0,0,1,0
E1357,45,8,4,139,57,22,1,1,0,1,0,0,0
E1358,36,8,4,103,26,6,1,0,0,0,0,1,0
E1359,59,7,5,171,25,2,0,0,0,0,0,1,0
E1360,52,6,3,95,54,57,1,1,0,1,0,0,0
E1361,28,9,1,17,29,31,1,1,0,0,1,0,0
E1362,62,4,1,225,83,30,0,0,1,0,0,0,0
E1363,58,1,7,160,97,17,1,0,0,0,0,0,0
E1364,48,8,1,221,36,42,0,0,0,0,0,1,0
E1365,61,7,1,213,14,6,1,1,0,0,0,0,1
E1366,45,7,3,85,78,40,1,0,0,0,0,0,1
E1367,54,3,10,168,35,0,0,1,1,0,0,0,0
E1368,44,4,4,151,30,13,0,0,0,0,0,0,1
E1369,43,10,4,56,92,51,1,1,0,0,1,0,0
E1370,32,9,2,134,17,31,0,0,0,0,0,0,1
E1371,26,6,1,86,67,5,0,0,0,0,0,0,0
E1372,55,5,3,178,80,38,1,0,0,0,0,0,0
E1373,64,3,4,102,30,9,0,0,0,0,0,1,0
E1374,39,9,3,165,93,6,1,0,0,1,0,0,0
E1375,20,5,8,237,45,25,1,1,0,0,1,0,0
E1376,27,5,10,192,79,33,1,0,0,0,0,1,0
E1377,35,4,1,54,89,29,1,0,0,0,1,0,0
E1378,33,4,2,200,51,35,1,0,0,1,0,0,0
E1379,31,1,7,233,47,20,0,1,0,0,0,0,1
E1380,42,7,4,177,53,59,1,0,0,0,0,0,1
E1381,34,9,8,227,64,16,0,1,0,1,0,0,0
E1382,47,3,3,115,38,32,0,0,0,0,0,1,0
E1383,53,2,6,139,64,9,1,0,0,1,0,0,0
E1384,21,3,9,88,87,50,1,1,1,0,0,0,0
E1385,51,1,1,49,89,46,1,0,0,0,0,0,0
E1386,42,6,1,149,7,41,1,1,0,0,0,1,0
E1387,41,7,8,115,22,50,1,1,0,0,1,0,0
E1388,44,2,3,194,81,11,1,0,1,0,0,0,0
E1389,41,8,5,63,82,55,1,1,0,0,0,1,0
E1390,41,6,1,104,41,15,0,0,0,1,0,0,0
E1391,61,4,5,83,74,40,0,0,0,1,0,0,0
E1392,25,5,6,103,10,31,1,1,0,1,0,0,0
E1393,34,8,8,156,57,14,1,1,0,1,0,0,0
E1394,62,3,3,17,7,26,0,1,0,0,1,0,0
E1395,56,3,3,6,50,27,0,1,1,0,0,0,0
E1396,52,4,10,147,91,16,1,0,0,0,0,0,1
E1397,27,1,9,184,52,45,1,0,0,0,0,0,0
E1398,63,9,4,230,33,58,1,1,0,0,1,0,0
E1399,63,8,4,28,1,49,1,0,0,0,1,0,0
E1400,24,8,7,194,53,57,1,0,0,0,0,0,1
E1401,58,10,2,38,60,1,1,0,0,0,0,0,1
E1402,23,6,8,119,34,35,1,0,0,0,0,0,0
E1403,25,7,6,37,4,49,0,1,0,0,0,0,0
E1404,64,6,3,115,17,6,1,1,0,0,0,0,1
E1405,51,9,9,68,4,12,0,0,0,1,0,0,0
E1406,49,3,5,214,43,14,0,1,0,0,1,0,0
E1407,54,3,8,218,90,24,1,1,0,0,0,1,0
E1408,59,3,7,177,4,22,0,1,0,0,0,0,0
E1409,35,10,8,43,1,59,1,0,0,0,0,0,0
E1410,32,3,7,164,71,21,1,0,0,0,0,0,1
E1411,61,9,3,58,94,25,1,0,1,0,0,0,0
E1412,49,4,2,13,50,32,1,1,0,0,0,1,0
E1413,38,7,7,52,73,10,1,0,0,0,0,1,0
E1414,36,9,3,58,61,9,1,0,0,0,0,0,0
E1415,38,7,3,32,35,24,0,1,0,1,0,0,0
E1416,47,9,2,209,8,36,1,0,1,0,0,0,0
E1417,45,3,4,105,24,47,1,0,0,0,0,1,0
E1418,56,4,8,228,83,42,0,1,0,0,0,0,0
E1419,45,8,1,188,36,52,1,1,0,0,0,1,0
E1420,42,6,1,238,50,37,0,1,1,0,0,0,0
E1421,28,5,5,83,43,40,1,0,1,0,0,0,0
E1422,31,4,5,186,27,44,1,0,0,0,1,0,0
E1423,20,8,1,99,32,23,0,0,0,0,0,0,1
E1424,20,1,6,238,78,39,1,1,0,0,0,0,1
E1425,53,9,1,104,18,45,0,1,0,0,0,0,0
E1426,51,1,5,184,28,55,1,0,1,0,0,0,0
E1427,44,8,9,28,29,32,0,0,0,0,1,0,0
E1428,59,4,5,129,16,16,1,1,0,0,1,0,0
E1429,64,9,6,170,99,23,0,1,0,0,0,1,0
E1430,20,5,8,210,47,36,1,1,0,0,0,1,0
E1431,35,3,1,48,59,56,1,1,0,0,1,0,0
E1432,58,9,2,40,31,1,0,0,0,0,0,1,0
E1433,24,9,9,97,4,31,1,1,1,0,0,0,0
E1434,41,4,3,191,37,56,1,0,0,1,0,0,0
E1435,48,4,6,204,17,59,1,0,1,0,0,0,0
E1436,22,8,5,200,39,23,1,0,0,0,1,0,0
E1437,31,2,2,216,48,8,1,1,0,0,1,0,0
E1438,45,9,7,208,46,3,0,1,1,0,0,0,0
E1439,35,6,4,114,90,16,0,1,0,0,0,1,0
E1440,56,9,1,132,48,16,1,1,0,0,0,1,0
E1441,41,8,4,166,39,52,1,0,0,0,0,0,1
E1442,48,7,6,236,4,49,0,1,0,0,1,0,0
E1443,33,1,7,155,30,47,1,1,0,0,0,0,0
E1444,47,3,7,137,30,29,1,0,0,0,0,0,1
E1445,24,2,7,111,22,39,1,1,0,0,0,1,0
E1446,49,5,3,144,75,57,1,0,1,0,0,0,0
E1447,24,5,6,184,66,10,1,0,0,0,0,1,0
E1448,31,5,8,76,12,20,1,0,1,0,0,0,0
E1449,35,4,4,31,94,20,1,0,0,0,0,0,1
E1450,45,5,8,216,36,17,1,0,0,0,1,0,0
E1451,45,3,2,119,18,54,0,0,0,0,0,1,0
E1452,40,1,10,142,90,28,1,0,1,0,0,0,0
E1453,58,5,9,237,53,23,1,0,0,0,1,0,0
E1454,55,9,9,25,71,9,1,1,0,0,0,0,0
E1455,52,9,8,34,1,44,0,1,1,0,0,0,0
E1456,49,4,10,67,58,16,1,1,0,0,0,0,1
E1457,56,3,10,152,90,17,1,1,0,0,0,0,0
