"Age","Gender","Ethnicity","SatisfactionScore","PerformanceRating","Tenure","CommuteDistance","LastPromotion","DecisionToLeave"
41,"Male","Hispanic",3,6,13,11,10,1
30,"Female","Other",2,7,2,33,0,1
64,"Female","Other",6,6,1,9,0,1
56,"Male","Asian",1,7,14,15,8,1
50,"Female","Indigenous",1,7,18,32,1,1
37,"Female","Other",8,1,24,32,1,1
58,"Male","Asian",6,1,13,39,7,1
49,"Male","Caucasian",9,1,23,49,9,1
26,"Female","Indigenous",9,8,1,46,0,1
49,"Male","Asian",6,2,4,20,1,0
23,"Male","Other",2,3,25,47,3,1
39,"Female","Hispanic",7,3,3,50,2,0
45,"Female","Asian",4,5,9,16,7,0
39,"Female","Asian",1,8,13,42,11,0
26,"Male","Indigenous",5,9,2,29,0,0
61,"Female","Other",9,5,22,35,18,1
61,"Female","Caucasian",8,5,5,43,3,1
42,"Female","Indigenous",6,10,0,38,0,1
57,"Female","African",6,3,21,40,0,1
57,"Male","Indigenous",1,6,19,8,14,1
60,"Male","African",4,1,23,37,3,1
63,"Female","Hispanic",7,3,18,41,12,1
39,"Male","Caucasian",2,7,3,18,1,1
48,"Female","Other",5,9,24,39,10,1
34,"Female","Indigenous",5,2,22,43,20,1
40,"Male","Hispanic",3,7,11,14,4,1
53,"Male","Indigenous",10,2,4,14,2,1
37,"Female","Indigenous",2,10,0,7,0,1
50,"Male","Hispanic",10,2,13,27,4,1
38,"Male","Other",4,2,5,48,4,1
65,"Female","Asian",4,10,6,30,3,1
30,"Male","Hispanic",2,1,11,22,4,0
42,"Male","African",8,7,7,22,4,0
64,"Male","African",7,4,7,41,0,1
29,"Male","Asian",3,4,3,50,2,1
50,"Male","Caucasian",5,2,18,11,15,1
59,"Female","Hispanic",9,10,19,14,3,1
22,"Male","Asian",1,3,5,5,2,1
34,"Male","African",8,6,13,23,7,0
35,"Male","Caucasian",2,9,4,50,3,1
26,"Female","Caucasian",8,3,1,16,0,1
30,"Male","Asian",8,1,1,30,0,0
37,"Female","Asian",4,9,6,24,5,1
47,"Male","Caucasian",3,4,2,30,1,1
64,"Male","Caucasian",2,10,19,43,16,1
63,"Female","African",9,4,22,6,17,1
63,"Male","Caucasian",4,5,17,44,5,1
54,"Female","African",1,1,3,40,1,1
50,"Male","Other",2,6,9,19,3,1
46,"Female","Hispanic",9,4,2,43,0,1
53,"Male","Hispanic",4,2,24,31,5,1
38,"Female","Caucasian",4,7,0,24,0,0
35,"Male","African",7,5,15,49,14,1
27,"Female","Asian",7,5,25,9,0,1
64,"Male","Asian",7,9,4,43,1,1
58,"Male","African",9,1,22,19,18,1
37,"Male","Caucasian",2,1,0,42,0,1
52,"Female","Hispanic",4,7,17,28,4,1
55,"Female","Caucasian",5,6,2,38,0,1
51,"Male","Asian",8,5,4,15,0,0
53,"Male","Indigenous",6,8,7,39,5,1
27,"Male","Other",1,9,1,25,0,1
43,"Male","Asian",10,8,6,6,3,0
59,"Female","Caucasian",9,10,12,17,2,1
52,"Female","Asian",9,3,19,41,10,1
27,"Male","Indigenous",8,6,21,7,13,0
41,"Female","Other",7,5,19,40,16,0
36,"Female","African",2,10,20,27,7,1
55,"Female","Indigenous",7,7,2,43,1,1
63,"Male","Asian",4,7,6,34,1,1
44,"Male","Asian",3,2,4,42,3,1
33,"Male","Indigenous",7,5,7,37,0,0
47,"Female","Other",9,2,22,40,10,1
62,"Male","Other",7,8,11,19,2,0
22,"Female","Asian",7,10,18,20,11,0
23,"Male","African",9,4,22,44,2,1
45,"Male","Indigenous",4,9,11,40,9,1
55,"Female","Other",2,7,14,21,2,1
46,"Female","Hispanic",1,8,7,14,6,1
49,"Male","Indigenous",7,8,22,48,3,1
64,"Male","Hispanic",4,3,23,40,3,1
35,"Male","Caucasian",9,8,24,12,18,1
55,"Male","Asian",3,3,23,32,14,1
23,"Female","Indigenous",2,10,1,43,0,0
52,"Male","Hispanic",8,10,11,11,3,1
53,"Male","Hispanic",9,9,25,33,20,0
48,"Female","Asian",9,6,8,44,1,1
31,"Female","African",4,5,16,20,2,0
49,"Female","Hispanic",4,7,15,30,11,1
58,"Female","African",9,3,12,13,9,1
31,"Male","Other",6,3,8,23,2,1
26,"Male","African",8,7,4,39,1,1
56,"Female","Hispanic",9,1,25,9,4,1
35,"Male","Caucasian",5,10,17,19,10,0
35,"Male","Asian",8,1,21,7,11,0
49,"Female","Indigenous",3,3,0,19,0,1
54,"Male","Caucasian",7,6,15,27,8,1
58,"Male","Caucasian",2,8,13,18,11,1
56,"Female","Caucasian",8,3,16,29,2,1
47,"Female","Hispanic",4,7,21,45,19,1
52,"Male","Indigenous",1,5,4,25,0,1
64,"Male","Indigenous",5,6,7,13,0,1
53,"Female","Other",3,9,24,29,22,1
38,"Female","African",9,9,8,46,0,1
48,"Female","African",8,10,2,23,0,1
51,"Female","Caucasian",3,10,24,35,19,1
57,"Male","African",7,6,9,16,3,1
41,"Male","African",2,4,21,43,8,1
32,"Female","Other",3,3,16,37,13,0
38,"Female","Caucasian",2,3,11,36,8,1
30,"Male","Hispanic",6,9,10,30,2,0
38,"Female","Indigenous",5,4,24,14,3,1
34,"Female","Caucasian",2,4,24,40,2,1
52,"Male","Hispanic",10,1,10,37,0,1
22,"Female","Caucasian",5,6,15,46,8,1
38,"Male","Other",10,1,6,27,0,1
54,"Female","Other",1,5,23,25,19,1
49,"Male","Indigenous",2,7,8,45,7,0
23,"Female","Asian",2,10,22,46,8,0
52,"Male","Hispanic",3,8,19,27,2,0
29,"Male","Caucasian",5,1,5,37,0,1
37,"Male","Indigenous",4,1,14,6,4,1
24,"Female","Caucasian",10,8,19,5,3,0
58,"Male","Other",7,9,6,42,4,0
34,"Male","Other",8,5,1,24,0,1
33,"Male","African",1,6,23,30,14,1
22,"Female","Indigenous",4,7,21,34,0,1
51,"Female","Asian",9,7,15,40,4,1
52,"Male","Other",1,1,22,49,3,0
58,"Female","Hispanic",3,7,16,16,13,1
27,"Male","Caucasian",1,9,6,50,3,1
37,"Male","Asian",5,9,15,31,12,1
31,"Male","African",1,8,1,21,0,1
28,"Female","African",4,10,18,28,13,0
30,"Female","African",5,7,4,10,1,1
62,"Female","Caucasian",2,2,8,26,5,1
46,"Female","Indigenous",1,1,15,24,11,1
24,"Female","African",9,9,17,24,16,0
39,"Male","Asian",3,3,10,25,8,0
49,"Female","Hispanic",3,3,23,13,21,1
36,"Male","Caucasian",6,10,1,28,0,1
50,"Female","Hispanic",2,10,22,38,14,1
41,"Female","Other",10,3,25,31,16,1
46,"Male","Caucasian",2,9,1,45,0,1
37,"Male","Indigenous",1,6,19,34,1,0
45,"Female","Other",10,9,15,10,8,1
54,"Female","Asian",10,2,0,46,0,1
59,"Female","Asian",6,7,3,17,0,1
64,"Male","Indigenous",3,2,17,25,4,1
62,"Male","Indigenous",8,10,15,9,11,0
43,"Female","Asian",6,10,13,46,11,1
47,"Male","Indigenous",2,3,13,19,9,0
41,"Female","Hispanic",2,1,7,17,6,0
58,"Female","Other",4,8,1,35,0,1
64,"Male","Hispanic",2,10,6,19,5,1
36,"Female","Indigenous",5,2,18,49,13,1
42,"Male","Other",9,1,6,48,0,1
55,"Female","Asian",4,8,19,14,15,1
46,"Female","Caucasian",8,3,6,12,1,1
59,"Female","African",9,4,6,6,2,1
22,"Female","African",8,8,11,40,8,1
35,"Male","Other",5,6,22,49,15,1
32,"Male","African",4,1,8,50,3,1
49,"Male","African",5,9,11,36,6,0
39,"Male","African",3,7,22,47,15,1
55,"Female","Other",2,7,9,37,1,1
63,"Male","Hispanic",5,7,11,46,6,1
57,"Male","Hispanic",5,5,12,7,8,1
41,"Female","Caucasian",6,5,15,6,13,1
36,"Male","Indigenous",2,4,7,48,0,0
28,"Female","African",3,3,22,38,3,1
48,"Female","Other",6,8,21,14,18,1
51,"Male","Asian",2,9,25,44,15,1
26,"Female","Asian",2,1,0,41,0,1
43,"Female","Other",9,3,8,28,3,1
41,"Male","Other",4,10,24,16,10,1
62,"Female","African",1,8,4,18,0,1
32,"Male","Caucasian",3,9,20,10,6,1
49,"Male","Asian",4,7,8,39,3,1
59,"Male","Other",1,4,12,30,6,1
63,"Male","Caucasian",2,5,6,19,5,1
30,"Female","Hispanic",7,9,16,11,5,0
44,"Female","Asian",2,7,15,40,7,1
47,"Male","Caucasian",10,3,18,31,11,1
62,"Female","Hispanic",3,8,22,5,0,1
32,"Female","Indigenous",6,6,4,40,3,0
40,"Male","Hispanic",3,3,9,11,8,1
49,"Male","Indigenous",5,6,12,17,4,1
42,"Male","Other",3,9,2,39,0,0
57,"Female","Indigenous",5,7,6,40,3,1
63,"Female","Hispanic",3,9,23,20,5,1
43,"Female","Indigenous",9,7,18,20,15,1
46,"Female","Other",6,7,12,46,8,1
51,"Male","Other",1,7,9,5,2,1
42,"Male","Asian",9,9,6,45,3,0
65,"Male","Hispanic",8,2,2,44,1,1
42,"Male","African",1,5,22,40,21,1
27,"Female","African",9,8,9,15,3,1
62,"Male","Indigenous",1,4,10,47,4,1
31,"Male","Hispanic",3,8,2,25,1,1
45,"Male","Caucasian",8,3,5,49,3,1
28,"Female","Indigenous",5,3,2,44,1,1
35,"Female","Hispanic",1,9,16,49,7,0
33,"Male","Asian",4,1,13,43,9,1
31,"Female","African",7,1,11,21,9,1
46,"Female","Asian",6,8,18,27,9,1
58,"Male","African",2,9,4,10,3,1
23,"Male","Asian",7,9,15,26,3,1
56,"Female","African",1,1,25,31,14,1
55,"Female","Other",9,7,10,9,2,1
48,"Male","Asian",4,2,25,28,12,1
52,"Female","Indigenous",10,6,9,24,3,1
48,"Female","Indigenous",9,1,7,21,1,1
37,"Male","Indigenous",7,6,11,31,10,1
57,"Male","African",10,3,19,8,13,0
45,"Male","Indigenous",1,6,23,42,7,1
59,"Female","Other",9,3,12,38,7,1
42,"Female","Other",7,6,4,25,1,1
41,"Female","Asian",10,7,24,47,21,0
32,"Female","Indigenous",6,1,7,46,1,1
54,"Female","Asian",1,3,0,33,0,0
35,"Female","Other",6,9,3,32,0,0
49,"Male","Other",1,4,1,48,0,1
54,"Female","African",2,2,22,15,2,1
50,"Female","Caucasian",4,4,13,5,2,1
57,"Male","Asian",1,10,7,27,0,1
53,"Female","Hispanic",2,10,15,24,1,1
59,"Male","Indigenous",5,3,18,28,5,1
43,"Female","Caucasian",6,8,15,30,8,1
65,"Male","Hispanic",1,8,6,48,4,1
28,"Male","Other",6,6,17,29,0,1
65,"Male","Asian",2,10,10,10,2,1
26,"Male","Hispanic",5,1,14,28,5,1
52,"Female","Other",9,8,19,42,16,1
53,"Male","Asian",9,2,22,46,8,1
39,"Female","Other",5,1,10,14,1,1
60,"Female","Indigenous",7,5,20,25,17,1
34,"Male","Asian",1,10,10,17,0,1
51,"Female","Hispanic",8,7,25,29,3,1
23,"Female","African",4,2,4,14,0,0
49,"Female","Caucasian",5,7,3,17,0,1
24,"Female","Hispanic",10,7,12,10,4,1
54,"Male","Caucasian",4,3,18,39,4,1
50,"Female","Caucasian",9,2,8,17,0,1
41,"Female","Caucasian",2,5,22,13,3,1
64,"Male","Asian",9,3,4,18,3,0
30,"Female","Caucasian",4,8,19,38,3,1
31,"Female","Caucasian",3,5,19,42,18,1
28,"Male","Indigenous",6,1,23,8,17,0
49,"Male","Asian",7,10,5,19,1,0
39,"Female","Other",6,1,7,30,2,1
46,"Male","Indigenous",1,2,20,50,17,1
65,"Female","Caucasian",6,7,16,21,13,1
31,"Male","Hispanic",2,3,24,48,20,1
30,"Female","Caucasian",5,7,21,50,2,1
40,"Female","Asian",4,8,10,16,5,1
36,"Female","African",3,4,11,13,5,1
24,"Male","Hispanic",9,2,21,6,12,0
43,"Male","Other",4,1,7,15,4,1
41,"Male","Other",4,9,9,24,5,1
63,"Female","Asian",10,9,22,23,2,1
55,"Male","Hispanic",5,3,8,11,7,1
44,"Female","Hispanic",5,3,5,37,3,1
38,"Female","Other",3,10,10,26,5,1
39,"Female","Caucasian",8,9,9,13,7,1
40,"Male","Caucasian",1,10,0,15,0,1
38,"Male","Other",7,8,22,25,7,0
51,"Male","Caucasian",7,10,11,18,6,1
31,"Male","African",7,1,15,38,14,0
58,"Female","Other",2,6,8,45,1,1
31,"Female","Caucasian",8,3,11,23,6,1
55,"Male","Hispanic",4,4,20,27,7,1
25,"Male","African",10,8,15,39,2,1
46,"Male","African",2,3,3,44,0,1
47,"Female","Other",4,3,15,23,11,0
60,"Male","Indigenous",3,5,2,29,1,1
54,"Female","Asian",3,9,23,41,17,1
43,"Male","Caucasian",10,10,19,36,9,1
65,"Male","African",8,6,5,14,1,1
40,"Female","Hispanic",5,3,11,5,9,0
27,"Male","Caucasian",8,10,12,28,2,0
65,"Male","Caucasian",9,8,21,30,0,1
46,"Female","Asian",3,4,3,32,1,1
51,"Female","African",6,5,14,18,12,1
63,"Male","Hispanic",5,5,1,35,0,1
60,"Female","African",7,9,11,47,1,1
46,"Female","Asian",1,9,22,10,9,1
23,"Male","Caucasian",9,6,5,33,2,1
59,"Female","Caucasian",9,4,3,32,0,1
30,"Male","Other",3,9,9,41,6,1
32,"Male","Other",1,5,17,38,16,1
27,"Female","Asian",8,8,25,17,10,1
52,"Female","Other",6,3,9,41,4,1
26,"Female","Indigenous",7,10,21,24,20,0
35,"Female","Hispanic",4,1,15,33,3,0
63,"Female","Other",7,1,4,46,3,1
22,"Female","African",3,6,9,39,8,1
62,"Male","African",5,10,8,7,0,0
31,"Male","Caucasian",8,1,0,15,0,0
33,"Female","Asian",1,3,22,25,14,1
43,"Male","Asian",4,9,16,18,7,1
22,"Male","Other",10,9,20,26,0,1
64,"Male","Caucasian",8,10,24,43,19,1
25,"Male","Asian",10,8,19,16,8,0
24,"Female","Asian",3,1,2,28,1,1
59,"Female","African",5,9,20,49,13,1
26,"Female","Asian",2,4,10,46,1,1
63,"Male","Caucasian",3,5,13,11,8,1
41,"Female","Other",4,2,2,12,0,1
55,"Female","African",5,1,7,38,0,1
44,"Male","Other",4,8,13,37,11,1
57,"Female","Hispanic",6,1,6,6,4,1
41,"Male","Caucasian",2,10,0,10,0,1
30,"Female","Hispanic",10,8,0,9,0,1
48,"Male","African",2,3,13,37,4,1
24,"Male","Indigenous",1,2,21,45,0,1
52,"Female","Caucasian",3,5,18,50,10,1
39,"Male","Other",8,4,0,28,0,1
31,"Male","Other",1,8,22,49,14,0
54,"Male","African",6,7,8,17,6,0
61,"Male","Caucasian",6,5,14,34,12,1
41,"Female","Caucasian",5,8,6,39,4,1
58,"Male","Hispanic",9,10,5,47,2,1
27,"Female","Asian",10,1,9,11,4,1
50,"Female","Other",9,7,16,24,6,1
25,"Male","Indigenous",7,6,18,14,3,0
48,"Female","Indigenous",10,4,18,36,7,1
30,"Male","African",5,4,24,10,8,1
61,"Male","Asian",1,2,22,48,13,1
44,"Male","Indigenous",7,2,19,6,5,0
47,"Male","Hispanic",1,2,12,22,0,0
33,"Female","African",7,1,14,37,8,1
31,"Male","Caucasian",4,6,7,17,5,0
64,"Female","Hispanic",6,5,11,42,4,1
44,"Male","African",10,10,14,34,7,1
48,"Male","African",9,10,7,43,4,0
55,"Female","Hispanic",10,1,11,25,10,1
37,"Male","Indigenous",9,10,16,29,10,0
46,"Female","African",1,2,1,8,0,1
49,"Male","Indigenous",9,9,8,32,4,1
36,"Female","Hispanic",8,10,21,40,14,1
59,"Male","Caucasian",7,8,5,37,1,1
44,"Female","Indigenous",7,1,16,35,11,1
40,"Female","Hispanic",1,4,1,29,0,1
31,"Male","African",4,3,22,11,19,1
34,"Female","Asian",2,5,3,32,1,1
59,"Female","Asian",5,5,15,40,2,1
22,"Female","Caucasian",7,4,12,40,5,0
32,"Female","Other",2,10,17,47,2,1
47,"Male","Hispanic",6,7,2,18,1,1
31,"Female","Hispanic",7,6,19,20,11,1
36,"Female","African",7,8,17,17,13,1
38,"Male","Indigenous",2,1,0,30,0,1
29,"Female","Indigenous",5,9,18,39,1,1
57,"Female","Asian",8,1,10,41,6,1
27,"Female","Caucasian",9,1,4,33,2,0
31,"Female","Hispanic",1,2,4,33,1,0
48,"Male","Hispanic",1,8,1,12,0,1
41,"Female","Other",8,5,21,27,16,0
46,"Female","Asian",10,8,8,21,6,1
45,"Female","African",3,5,0,32,0,1
37,"Male","Hispanic",8,3,7,40,3,1
65,"Female","Other",4,10,6,48,0,1
37,"Male","Hispanic",1,10,9,20,3,1
24,"Male","African",8,5,0,16,0,1
53,"Female","Hispanic",5,4,18,24,17,1
42,"Male","Hispanic",4,8,8,10,2,1
60,"Female","Caucasian",2,6,8,24,1,1
24,"Male","Indigenous",9,9,1,15,0,0
31,"Male","Asian",9,8,23,21,12,1
42,"Female","Asian",6,1,25,31,13,1
63,"Male","Asian",10,9,12,13,9,0
28,"Male","Asian",4,1,8,25,6,1
40,"Male","Hispanic",4,3,2,27,0,0
50,"Male","Indigenous",4,1,6,37,0,1
63,"Male","Indigenous",3,7,9,50,8,1
45,"Male","African",6,10,18,32,7,0
50,"Female","Caucasian",4,3,2,25,0,1
51,"Male","Other",2,5,21,47,15,1
64,"Male","Asian",2,5,6,30,1,1
56,"Male","Other",6,9,23,31,8,1
63,"Male","Caucasian",8,1,16,50,3,1
55,"Female","Indigenous",10,6,0,26,0,1
60,"Male","African",4,3,13,46,6,1
42,"Male","Hispanic",8,9,5,6,1,0
64,"Female","Caucasian",2,9,13,19,7,1
64,"Female","Indigenous",10,9,18,31,2,1
47,"Female","African",7,6,10,33,0,1
54,"Male","African",9,7,22,16,18,1
27,"Male","Asian",5,1,15,17,13,0
44,"Female","Other",10,6,2,49,1,1
63,"Female","Caucasian",3,10,9,39,8,1
62,"Male","Caucasian",1,4,7,47,4,1
65,"Female","African",10,6,7,8,4,1
39,"Male","Hispanic",4,7,14,29,12,1
42,"Male","Other",3,10,19,30,17,1
54,"Male","Caucasian",8,6,8,46,7,1
32,"Female","Caucasian",6,6,10,5,6,1
61,"Male","Other",4,8,25,17,20,1
35,"Female","Asian",10,3,17,22,1,1
23,"Female","Indigenous",10,5,0,17,0,0
59,"Female","Asian",1,9,0,32,0,1
56,"Female","Caucasian",4,4,13,29,5,1
49,"Male","Caucasian",6,6,18,23,1,1
37,"Female","African",10,5,18,28,7,1
37,"Female","Caucasian",3,9,11,5,9,1
29,"Female","African",9,10,13,6,1,1
59,"Male","Caucasian",2,1,13,46,9,1
59,"Male","Caucasian",6,5,0,38,0,1
29,"Male","Caucasian",10,9,13,34,6,1
52,"Female","Caucasian",7,1,16,49,0,1
58,"Female","Hispanic",10,5,20,46,19,1
44,"Female","Caucasian",6,1,25,25,24,1
62,"Female","African",4,4,8,13,4,1
31,"Male","Caucasian",10,1,23,24,17,0
32,"Male","Hispanic",6,3,14,25,4,1
48,"Male","Caucasian",2,7,22,19,21,1
44,"Male","Indigenous",5,5,5,41,0,1
54,"Female","Other",5,7,7,20,3,1
43,"Male","African",4,5,9,16,1,1
36,"Female","Indigenous",4,7,2,39,0,1
25,"Female","African",10,2,15,19,4,0
60,"Male","Other",5,2,18,26,4,1
64,"Male","Asian",4,9,21,22,16,1
31,"Female","African",8,5,19,22,16,1
29,"Male","Hispanic",1,1,0,36,0,1
52,"Female","Asian",4,3,11,12,10,1
49,"Male","Asian",8,2,0,11,0,0
56,"Male","Indigenous",7,1,23,37,13,1
41,"Male","Hispanic",10,4,12,20,8,0
29,"Male","Indigenous",9,6,7,10,6,0
53,"Male","Indigenous",9,10,3,23,0,1
24,"Female","Caucasian",4,1,17,18,6,0
62,"Male","Other",8,1,14,48,9,1
32,"Female","Asian",8,9,8,37,4,0
34,"Male","Asian",5,10,4,10,3,1
60,"Male","Asian",1,2,11,7,3,0
39,"Male","Other",6,7,23,17,19,1
60,"Male","African",6,9,5,44,4,1
42,"Female","African",6,6,22,25,18,1
26,"Male","Caucasian",4,8,1,32,0,0
52,"Male","African",8,10,8,31,1,1
41,"Female","African",9,4,1,41,0,1
39,"Male","Caucasian",2,4,3,43,2,1
60,"Female","African",1,4,22,14,2,1
24,"Male","Asian",4,5,10,12,1,1
29,"Male","Hispanic",8,10,21,9,11,1
40,"Female","Asian",9,3,0,48,0,0
31,"Female","African",7,4,10,50,3,0
36,"Male","Other",8,4,25,38,12,1
33,"Male","Other",2,3,22,36,4,1
56,"Female","Indigenous",10,1,25,15,1,1
53,"Female","Caucasian",4,3,25,26,17,1
63,"Female","Caucasian",7,6,1,13,0,1
55,"Male","African",2,6,19,14,0,1
61,"Male","African",7,6,4,47,3,1
22,"Male","Indigenous",9,7,19,15,4,1
34,"Male","Indigenous",3,5,19,17,3,0
28,"Female","Other",9,10,3,34,1,1
32,"Male","Hispanic",4,6,14,9,6,1
32,"Male","African",3,8,0,34,0,0
34,"Male","Other",1,4,8,9,3,1
58,"Female","Caucasian",3,1,0,49,0,1
55,"Male","African",10,8,21,50,2,0
36,"Female","Caucasian",4,10,13,12,9,1
58,"Female","Indigenous",1,2,15,36,8,1
35,"Male","Hispanic",9,2,10,41,1,1
58,"Female","Hispanic",6,9,2,23,0,1
47,"Male","Caucasian",10,2,7,33,4,1
49,"Female","Indigenous",6,10,2,17,0,1
39,"Female","African",2,2,9,23,0,1
38,"Female","Asian",3,7,5,21,0,1
60,"Female","Other",5,3,23,14,13,0
55,"Male","African",9,10,23,49,19,1
33,"Female","African",3,2,1,24,0,1
51,"Female","Other",1,2,15,5,9,1
56,"Male","Asian",8,9,25,38,21,1
41,"Male","African",8,9,4,22,1,0
47,"Male","African",3,9,20,7,1,1
46,"Male","Indigenous",1,2,1,41,0,1
29,"Female","Asian",10,8,7,27,5,0
41,"Male","Indigenous",8,10,2,48,0,1
49,"Female","Hispanic",1,2,19,46,8,1
54,"Female","African",1,8,0,23,0,1
42,"Male","Asian",4,9,0,36,0,1
55,"Female","Caucasian",8,3,20,36,7,1
26,"Male","Other",7,4,12,12,3,0
63,"Male","Caucasian",5,10,5,19,3,1
33,"Female","Caucasian",3,7,13,35,12,1
24,"Female","Asian",4,4,6,28,3,1
39,"Female","Other",5,4,15,27,6,1
22,"Male","African",5,8,3,28,0,0
29,"Male","Indigenous",1,9,9,22,7,0
61,"Male","Caucasian",5,1,10,14,3,1
51,"Male","Hispanic",4,8,10,23,0,0
41,"Male","Other",3,4,9,17,5,1
55,"Female","Caucasian",2,10,8,14,3,1
42,"Female","African",6,6,15,10,11,1
40,"Male","African",6,10,17,27,9,0
64,"Female","Other",4,8,7,44,3,1
39,"Male","Asian",10,5,9,28,7,1
61,"Female","Caucasian",3,10,19,5,5,1
45,"Male","Asian",7,6,12,31,8,1
63,"Male","Indigenous",5,4,25,21,11,0
50,"Male","Other",4,7,12,21,0,1
55,"Male","Indigenous",2,8,16,11,8,1
43,"Female","Caucasian",8,6,13,43,3,1
25,"Female","Other",2,5,11,21,6,1
44,"Male","Other",5,1,2,19,1,1
38,"Female","Caucasian",3,2,11,8,10,1
65,"Male","Asian",7,2,15,43,3,1
41,"Female","Indigenous",10,4,21,42,2,0
60,"Female","Other",2,8,8,49,3,1
30,"Female","Asian",6,2,9,21,7,0
40,"Female","Hispanic",1,8,1,26,0,1
42,"Female","Indigenous",1,6,18,5,0,1
64,"Male","Caucasian",3,8,13,23,3,1
64,"Female","Hispanic",8,5,3,27,2,1
65,"Male","Hispanic",7,7,6,49,0,1
38,"Female","Hispanic",4,8,19,22,6,1
55,"Male","African",5,6,20,35,1,0
28,"Female","Caucasian",10,2,16,17,12,1
25,"Male","Other",5,3,25,48,18,1
22,"Male","Asian",4,8,0,8,0,1
49,"Male","African",10,9,2,8,1,0
38,"Male","Hispanic",6,10,7,14,1,1
57,"Male","Hispanic",6,9,9,28,4,0
55,"Female","Indigenous",8,3,23,43,17,1
48,"Male","Indigenous",3,3,20,23,3,1
50,"Female","Indigenous",2,1,20,43,2,1
47,"Female","Hispanic",5,7,1,9,0,1
42,"Male","Caucasian",6,1,21,24,20,1
61,"Male","Indigenous",3,2,13,15,9,1
56,"Female","Asian",10,2,19,35,15,1
34,"Female","African",2,6,9,21,7,1
55,"Female","Asian",6,6,9,20,4,0
57,"Male","Other",10,9,1,11,0,1
62,"Male","Indigenous",2,5,11,32,9,1
64,"Female","Indigenous",1,7,11,15,4,1
49,"Female","African",10,5,23,13,17,1
31,"Male","African",7,1,18,24,13,0
53,"Female","African",5,5,5,28,2,1
48,"Female","Hispanic",2,6,16,16,3,1
54,"Female","African",1,7,8,18,1,1
22,"Female","Caucasian",3,4,8,20,2,1
35,"Male","Hispanic",3,6,20,12,12,1
53,"Male","African",8,7,20,15,15,0
49,"Female","Other",5,3,25,19,2,1
64,"Female","Indigenous",1,3,19,35,6,1
53,"Female","Caucasian",6,5,23,33,14,1
62,"Male","Caucasian",10,5,24,32,16,1
51,"Female","Indigenous",1,8,15,28,13,1
58,"Male","Caucasian",7,4,16,20,12,1
55,"Male","Asian",9,9,14,37,10,0
