Age,YearsAtCompany,EducationLevel,JobPerformanceRating,TrainingCompleted,MentorshipProgramParticipation,Department,HighPotential
33,2,2,4,9,1,2,1
44,2,2,2,0,0,4,1
52,3,2,9,1,1,5,1
39,13,3,2,8,1,5,1
28,5,2,1,1,1,3,1
29,2,2,1,1,1,5,1
40,5,2,6,5,0,2,0
50,6,2,2,9,1,3,1
41,9,1,6,6,1,1,1
51,13,1,1,6,0,2,0
43,3,3,4,8,1,1,1
31,2,2,9,1,1,2,1
47,7,3,1,5,1,1,1
54,4,2,9,9,1,5,1
49,1,1,10,5,1,4,1
31,4,2,5,6,0,4,0
50,10,3,7,9,0,2,1
39,6,2,10,0,0,1,1
22,2,1,1,3,1,2,1
44,4,3,2,7,1,5,1
38,8,2,8,2,0,4,1
58,2,1,3,9,0,1,0
52,2,2,7,0,1,1,1
46,8,1,4,9,1,5,1
25,10,3,5,9,0,4,0
30,5,3,5,9,0,1,1
49,14,2,6,7,1,4,1
51,13,1,1,7,1,3,1
45,3,3,1,6,0,2,0
54,12,2,9,7,1,5,1
41,1,2,7,0,0,1,0
30,12,2,7,6,1,3,1
29,4,1,5,0,0,1,1
45,3,2,9,2,0,3,1
35,14,1,10,6,0,3,1
39,5,2,1,8,0,4,0
22,1,1,8,8,1,5,1
33,1,2,6,6,1,1,1
50,11,2,7,3,1,2,1
58,10,1,4,2,0,5,0
47,12,3,10,3,1,2,1
54,4,3,1,1,1,1,1
36,9,3,5,4,1,1,1
44,4,1,3,0,1,2,1
50,1,3,2,8,1,1,1
42,5,2,8,2,0,3,1
40,5,1,2,6,0,3,1
26,1,3,1,7,1,1,1
44,3,2,3,7,0,4,1
57,12,2,8,8,0,1,1
41,6,1,9,0,0,1,1
29,6,3,9,2,1,2,1
30,9,2,1,1,0,3,0
35,3,3,7,6,1,4,1
27,14,2,6,3,1,3,1
22,14,2,5,6,0,4,1
30,8,1,8,7,1,5,1
37,13,3,5,9,0,5,0
37,12,2,1,4,1,4,1
33,4,3,7,0,0,1,0
26,13,3,5,8,0,3,0
50,7,3,7,2,1,2,1
48,2,1,5,3,0,5,1
32,1,2,1,2,0,2,1
49,3,3,3,8,1,1,1
57,3,1,9,0,1,4,1
40,6,3,8,6,1,2,1
56,6,1,9,6,0,1,1
52,2,3,7,9,0,1,1
40,11,3,5,5,0,2,0
45,3,3,5,9,0,3,0
23,12,1,10,7,1,5,1
28,9,1,9,3,0,5,1
52,8,2,5,6,0,1,0
38,4,2,6,8,0,5,0
48,8,1,4,5,1,1,1
57,13,2,5,2,1,3,1
31,14,1,3,8,1,4,1
35,4,1,3,9,0,4,1
28,2,1,8,1,0,4,1
30,1,2,10,4,1,3,1
35,2,3,6,0,1,4,1
29,1,2,3,9,1,4,1
38,9,3,2,4,1,2,1
44,9,2,5,7,1,3,1
37,11,3,5,0,1,4,1
47,6,3,2,9,1,2,1
30,4,1,9,1,0,4,1
57,11,2,10,4,0,1,1
28,14,3,3,0,0,4,0
39,11,2,6,0,0,2,1
29,4,1,9,9,0,1,1
42,2,1,3,0,1,3,1
47,14,3,10,3,0,3,1
24,1,1,5,8,1,3,1
38,7,2,10,6,0,4,1
45,2,1,7,2,0,2,0
46,7,1,2,0,1,3,1
26,10,1,3,9,0,2,1
58,6,1,7,6,1,3,1
45,13,2,3,5,0,5,0
52,14,2,1,6,1,1,1
47,11,3,1,9,0,4,1
42,8,1,7,1,1,1,1
55,1,3,10,4,1,1,1
59,12,3,7,4,1,5,1
45,2,2,3,2,0,2,0
49,5,1,4,9,1,1,1
51,13,1,3,2,0,5,0
55,10,2,1,4,0,2,1
44,14,2,10,9,0,5,1
29,14,2,7,3,0,2,0
31,6,1,2,3,0,5,1
22,2,3,5,6,1,1,1
41,14,3,5,0,0,1,0
58,7,1,3,8,0,5,0
39,13,3,6,9,1,1,1
42,11,1,3,5,1,5,1
25,6,1,4,5,0,5,0
23,5,2,3,2,1,4,1
42,5,1,4,0,0,3,0
58,5,2,9,4,1,1,1
26,8,2,3,0,0,5,0
38,3,3,5,5,1,3,1
32,3,2,8,2,1,5,1
52,7,3,4,3,0,1,0
49,6,1,4,2,1,5,1
53,11,3,4,9,0,2,0
42,12,3,7,8,0,2,0
28,12,3,3,9,1,4,1
31,12,1,6,0,0,1,1
49,4,1,9,6,1,1,1
57,1,2,8,0,1,3,1
41,9,1,4,9,0,5,1
34,14,2,4,1,1,1,1
40,9,1,8,3,0,1,1
32,2,3,3,5,0,3,0
56,9,2,3,1,0,2,0
55,8,1,1,2,1,1,1
25,6,1,8,0,0,3,1
34,8,1,1,5,1,2,1
58,10,3,10,6,0,1,1
23,5,2,6,9,0,2,0
22,1,2,5,1,1,1,1
46,8,2,9,2,0,4,1
58,3,1,7,6,1,5,1
57,14,2,5,6,0,3,1
27,4,2,2,7,1,1,1
28,10,1,7,0,1,5,1
25,6,1,6,5,0,4,0
56,5,1,9,4,0,2,1
55,1,1,8,7,0,4,1
50,12,3,5,4,1,5,1
26,11,3,3,6,1,3,1
48,5,2,3,6,1,5,1
54,6,3,10,8,1,2,1
31,11,1,1,6,1,5,1
27,9,3,2,0,1,4,1
55,2,1,5,2,1,5,1
29,5,3,10,0,0,5,1
52,9,1,5,0,1,5,1
30,1,2,4,8,1,5,1
42,2,2,1,4,0,2,0
29,2,3,6,0,0,5,0
25,9,1,9,1,1,3,1
43,10,2,9,0,1,2,1
49,5,1,8,8,0,2,1
25,10,3,3,5,1,5,1
42,13,1,6,2,0,4,0
29,1,1,2,8,0,5,1
41,4,3,6,0,1,2,1
53,1,2,3,5,1,1,1
22,14,3,2,0,0,3,0
27,8,1,3,8,1,4,1
49,1,3,10,5,1,4,1
52,9,3,7,6,0,4,0
31,13,1,8,9,0,2,1
41,12,3,5,4,1,4,1
29,2,2,7,4,1,4,1
43,3,2,2,2,0,1,0
59,13,3,6,4,0,1,0
50,9,1,8,0,1,1,1
30,6,3,6,8,1,4,1
22,9,3,5,1,0,4,0
47,3,2,9,7,0,5,1
32,2,2,3,4,0,2,0
56,4,1,10,1,0,5,1
45,6,1,7,0,1,2,1
54,1,1,2,9,0,5,1
41,3,3,9,5,1,1,1
48,14,3,8,1,0,4,1
36,6,3,10,8,1,1,1
54,9,3,2,1,1,5,1
28,7,1,2,6,1,2,1
55,3,1,2,0,1,3,1
26,8,1,10,0,0,3,1
51,8,3,8,2,0,4,1
49,2,3,10,0,0,4,1
39,11,1,9,7,1,5,1
57,9,2,10,2,1,2,1
24,5,1,4,7,0,2,1
42,14,3,6,5,0,1,0
37,10,3,2,4,1,5,1
58,11,1,2,0,0,1,0
26,13,2,1,7,0,5,0
35,4,2,8,9,1,5,1
52,4,3,7,8,1,4,1
45,3,3,3,1,0,4,1
56,10,3,7,3,1,2,1
57,1,1,5,2,1,2,1
31,12,3,2,2,1,4,1
48,5,3,1,5,0,3,1
48,7,3,5,7,1,2,1
44,5,2,5,1,0,1,0
34,13,2,8,5,0,3,1
37,4,3,1,3,0,1,0
56,3,2,1,9,0,5,0
48,14,2,8,5,1,5,1
38,4,2,10,6,0,5,1
22,2,2,1,3,1,2,1
32,2,1,7,6,0,2,0
33,3,2,10,7,0,5,1
35,13,2,5,5,1,2,1
29,12,2,7,6,0,2,1
52,8,2,8,9,1,1,1
28,3,1,7,9,1,4,1
52,8,1,7,5,1,5,1
37,14,3,7,7,0,3,0
40,1,2,1,5,0,4,1
29,2,2,8,3,0,4,1
50,9,3,6,3,1,1,1
23,1,1,3,4,1,5,1
24,14,3,3,0,0,3,1
50,12,1,5,1,0,3,1
36,6,3,1,3,0,1,0
59,3,3,5,9,1,4,1
49,9,2,8,3,0,1,1
58,1,3,4,3,1,3,1
53,13,1,9,8,0,4,1
51,5,1,7,8,0,4,0
51,1,3,7,3,0,1,0
55,4,1,6,8,1,5,1
34,9,3,3,9,1,2,1
54,2,2,7,4,0,4,1
38,11,2,7,0,0,4,0
24,12,2,6,6,1,2,1
30,7,2,1,8,0,3,0
32,14,3,3,6,0,2,0
48,5,1,2,3,1,1,1
49,7,3,7,8,1,4,1
23,14,1,2,2,1,4,1
22,11,3,5,8,0,5,0
27,10,1,3,8,1,3,1
46,12,1,2,8,0,1,0
56,12,3,6,2,0,2,1
37,7,2,3,5,0,3,0
25,12,3,2,6,0,3,0
59,5,2,6,5,1,1,1
41,8,3,3,8,0,5,0
46,14,1,7,5,0,1,1
28,3,2,7,8,1,1,1
42,10,1,3,2,0,5,1
28,14,1,1,0,1,3,1
50,9,1,5,2,1,3,1
28,1,3,6,0,1,2,1
24,9,1,8,2,1,5,1
50,7,3,4,9,0,3,0
50,3,2,7,0,0,3,0
59,7,1,6,8,1,5,1
27,12,2,6,9,0,4,0
31,10,2,10,0,0,3,1
58,14,3,3,4,1,5,1
35,13,2,1,4,1,4,1
43,6,3,6,3,0,4,1
53,4,3,2,5,0,3,0
39,8,2,4,2,0,2,0
57,13,2,1,4,1,1,1
30,12,2,8,0,1,2,1
47,9,3,2,5,0,2,0
43,4,3,10,9,0,3,1
59,9,2,4,5,0,5,1
44,9,3,7,7,1,5,1
38,10,2,6,7,0,4,0
47,10,3,7,1,0,2,1
59,14,3,10,2,1,1,1
23,13,1,7,8,0,4,0
27,5,1,2,7,0,1,0
28,11,2,6,8,0,4,0
34,11,1,5,1,1,5,1
48,5,3,8,3,1,3,1
32,2,2,7,2,1,1,1
36,1,1,4,8,0,3,0
30,8,2,3,7,1,4,1
29,7,2,4,1,1,4,1
27,3,3,7,9,1,3,1
25,2,1,6,6,0,5,0
32,1,3,8,0,1,1,1
49,7,2,8,8,0,3,1
47,14,2,7,4,0,4,0
25,11,2,7,6,1,1,1
36,2,1,6,6,1,1,1
40,7,3,9,1,1,2,1
27,8,3,6,3,0,1,1
26,13,1,4,0,1,5,1
39,2,3,8,7,1,3,1
27,6,3,3,1,1,5,1
52,3,2,8,7,1,2,1
46,1,2,3,1,0,5,0
25,3,2,10,5,0,1,1
27,7,1,6,5,0,1,0
58,7,2,1,6,0,1,0
46,4,3,3,7,1,3,1
55,6,1,9,9,0,4,1
40,5,3,2,7,0,4,1
55,8,1,9,8,0,2,1
36,4,3,3,9,0,5,0
29,11,1,9,4,1,4,1
55,3,3,7,5,1,3,1
39,7,2,9,8,1,1,1
51,10,1,4,6,0,2,0
34,2,3,7,8,0,1,0
54,12,3,5,5,0,3,0
56,6,3,1,8,1,1,1
45,2,3,7,8,1,3,1
47,10,2,7,4,0,5,0
22,4,2,4,5,0,3,0
34,2,1,5,2,1,5,1
31,12,1,9,1,1,5,1
40,1,3,7,1,1,5,1
26,8,1,1,7,1,1,1
29,4,3,1,9,1,1,1
25,10,1,4,7,1,1,1
34,14,1,6,0,0,2,0
59,7,3,8,6,1,2,1
40,5,2,1,3,0,4,1
29,5,3,10,2,1,2,1
48,4,2,10,1,0,1,1
51,6,1,9,1,0,2,1
25,5,2,1,0,0,2,0
32,14,3,2,7,0,2,0
42,5,1,10,9,1,4,1
23,10,2,5,7,0,5,1
42,1,2,1,9,0,1,0
38,1,3,3,0,1,1,1
50,10,1,5,3,0,4,1
48,6,1,9,9,1,3,1
45,1,2,3,6,0,5,0
24,7,2,3,4,1,4,1
31,4,2,8,8,0,1,1
24,9,1,7,1,0,2,0
47,13,2,4,4,0,4,0
58,10,2,3,5,0,3,1
48,11,1,7,4,0,4,0
26,7,1,6,2,0,3,1
32,13,3,5,6,1,4,1
34,13,1,4,3,1,3,1
55,12,1,4,9,1,4,1
59,3,3,10,2,0,3,1
54,12,1,8,2,0,3,1
55,2,3,5,3,0,4,0
48,8,1,5,0,0,1,1
57,8,3,6,0,0,4,0
47,7,2,10,6,0,1,1
46,8,2,5,4,1,3,1
40,11,2,2,3,0,4,0
42,6,3,2,0,0,3,0
52,10,2,8,0,0,1,1
50,9,1,10,8,1,4,1
30,13,3,1,8,0,4,0
40,9,1,1,9,1,4,1
47,2,1,6,2,1,5,1
46,12,1,8,4,1,1,1
50,14,3,1,4,0,3,0
46,5,1,6,9,1,3,1
40,7,2,3,8,0,4,0
25,5,3,1,5,1,2,1
41,3,2,10,8,1,2,1
22,8,3,8,2,0,5,1
32,14,1,6,6,0,3,0
25,9,2,1,6,0,4,0
28,6,3,4,0,1,5,1
49,8,1,6,1,0,4,0
57,10,1,4,5,0,3,0
28,10,3,3,3,1,2,1
41,7,3,3,3,0,1,0
56,10,3,1,4,1,1,1
42,10,3,9,1,1,4,1
22,4,2,4,2,0,5,0
58,14,3,10,4,1,1,1
24,10,1,10,8,0,5,1
55,12,2,10,1,0,3,1
34,14,1,7,3,1,4,1
37,4,1,5,0,0,5,0
55,11,3,10,7,0,4,1
45,8,2,4,8,0,1,0
34,3,3,5,2,1,2,1
27,9,1,2,1,1,3,1
23,2,3,1,6,0,1,0
32,4,3,10,8,0,4,1
28,3,3,2,2,0,5,1
28,2,3,2,8,0,4,0
33,8,3,8,1,1,5,1
43,11,3,3,7,0,4,0
24,11,2,8,9,0,3,1
34,9,3,1,4,1,2,1
51,12,2,2,9,0,5,0
31,12,3,9,4,0,1,1
30,14,2,1,2,0,2,0
27,8,1,4,4,1,3,1
23,6,2,6,7,1,5,1
37,8,2,2,3,1,4,1
34,11,1,3,4,0,4,1
34,8,3,2,7,1,2,1
43,2,3,5,0,0,4,0
40,6,2,8,4,0,2,1
47,7,3,10,4,1,2,1
35,12,3,9,8,0,1,1
52,6,1,5,7,0,1,0
50,9,3,5,8,0,1,0
43,12,3,7,5,0,4,1
28,9,2,6,6,0,5,1
58,2,3,2,2,1,5,1
48,6,3,1,8,0,1,0
52,3,2,2,8,0,1,0
27,10,2,1,8,0,5,0
37,14,2,4,0,1,1,1
59,6,3,6,0,1,2,1
59,2,3,6,1,1,3,1
53,9,3,7,0,1,2,1
54,2,3,10,5,1,5,1
38,11,3,3,8,1,1,1
54,8,3,10,3,0,3,1
32,12,2,6,0,0,1,0
34,9,2,8,4,1,2,1
51,6,3,6,2,0,1,0
22,1,1,10,1,0,2,1
51,2,2,9,9,0,3,1
48,10,3,2,8,0,4,0
44,6,2,6,9,1,4,1
41,2,1,9,4,0,3,1
27,5,2,10,1,1,1,1
58,11,2,2,6,1,4,1
41,10,2,5,1,0,2,0
58,13,2,1,2,1,4,1
27,9,3,3,3,0,2,0
50,3,1,1,0,1,3,1
34,13,3,10,4,0,4,1
48,9,2,8,5,0,3,1
41,4,2,10,3,1,5,1
34,4,2,4,8,0,3,0
29,11,1,9,7,1,4,1
38,8,1,8,8,0,2,1
51,5,3,8,9,1,3,1
22,13,2,9,8,1,4,1
45,9,1,2,2,1,1,1
37,4,2,10,5,1,2,1
32,4,3,9,3,0,1,1
25,2,3,10,7,1,1,1
25,8,1,1,6,1,5,1
38,14,3,8,3,0,3,1
31,6,1,8,5,0,1,1
42,6,2,7,5,0,2,1
59,13,1,6,4,0,1,0
39,14,3,9,3,0,5,1
31,8,2,6,2,1,4,1
37,11,3,5,1,1,2,1
36,8,2,1,9,1,2,1
55,4,2,10,6,1,4,1
26,11,2,2,0,1,5,1
38,14,2,9,0,0,5,1
58,3,3,1,6,0,3,0
29,2,1,4,3,0,2,0
45,12,2,8,9,0,3,1
49,3,3,4,8,1,1,1
29,12,3,8,3,0,3,1
44,10,3,6,3,0,3,0
56,6,1,4,7,1,4,1
52,9,3,9,9,0,3,1
38,9,3,4,4,1,1,1
49,9,1,2,8,0,3,0
33,3,3,4,6,1,5,1
45,3,3,4,6,1,3,1
36,11,1,1,7,0,4,1
52,12,1,8,2,0,4,1
48,13,1,3,5,0,4,1
56,12,2,1,4,0,3,1
39,9,1,7,0,0,1,1
57,5,2,7,5,1,2,1
29,2,2,8,9,1,4,1
59,13,1,8,6,0,3,1
26,2,2,2,6,0,2,0
35,11,3,3,8,0,5,0
59,1,3,9,5,0,5,1
41,11,1,6,2,1,4,1
30,12,2,2,3,0,4,1
54,14,3,8,7,0,5,1
39,3,2,4,9,0,4,1
27,11,2,2,3,0,5,0
58,13,3,7,5,0,3,0
23,2,1,9,1,1,2,1
51,8,2,3,1,1,3,1
27,1,3,8,0,1,5,1
38,11,1,9,4,0,3,1
44,3,2,10,9,0,5,1
52,10,2,7,3,0,3,0
41,12,2,10,3,0,2,1
26,4,2,9,4,0,5,1
42,5,1,6,3,1,4,1
32,10,2,1,9,0,4,0
25,11,3,1,5,0,4,0
44,12,3,10,8,1,5,1
59,4,3,5,1,1,4,1
51,1,1,7,9,0,1,0
39,1,3,1,3,0,2,0
52,14,2,10,0,0,1,1
51,7,2,5,6,0,5,1
55,5,3,3,4,0,5,1
52,4,1,3,7,1,2,1
59,4,1,5,6,1,3,1
46,2,2,8,5,1,2,1
38,1,2,2,6,0,1,1
57,8,3,10,0,0,1,1
51,9,1,7,7,0,1,0
23,12,3,5,7,0,1,0
45,7,2,7,1,1,3,1
30,13,2,9,0,0,5,1
22,12,3,7,2,0,5,0
45,3,1,10,6,0,2,1
59,9,2,3,6,1,5,1
48,9,2,8,7,0,5,1
47,10,1,5,4,1,5,1
47,7,2,1,3,1,3,1
28,5,1,2,3,0,3,0
46,2,1,7,5,0,5,0
37,9,2,5,1,1,1,1
59,6,3,1,0,1,5,1
39,5,2,1,1,1,2,1
38,4,2,3,2,1,4,1
27,12,2,8,5,0,2,1
41,6,2,7,4,0,4,1
44,8,3,7,9,0,3,0
33,7,3,8,2,0,3,1
33,13,3,8,9,0,5,1
55,11,1,1,6,0,4,0
29,12,3,10,4,1,3,1
48,7,1,5,1,0,3,1
29,10,2,2,0,1,5,1
54,4,3,5,7,0,3,0
58,4,3,10,8,0,4,1
40,3,3,6,2,1,2,1
45,8,3,10,8,1,3,1
43,4,3,1,5,0,1,0
24,10,2,7,3,0,3,1
30,10,3,5,2,1,2,1
32,6,1,5,2,0,5,1
27,10,1,2,6,1,5,1
58,14,3,8,8,1,2,1
23,9,1,1,1,0,5,0
58,4,3,2,4,0,3,0
27,12,2,3,1,1,4,1
27,13,1,9,3,1,3,1
57,11,3,8,7,1,4,1
46,9,1,10,3,1,1,1
37,6,3,9,0,1,2,1
42,12,1,1,7,1,2,1
31,10,2,1,3,0,3,0
26,1,1,1,0,0,5,0
46,8,1,3,8,0,2,0
52,1,1,7,3,1,4,1
24,14,1,9,7,1,5,1
41,2,3,4,4,1,4,1
25,7,2,8,1,0,2,1
35,13,2,4,6,1,4,1
33,14,1,4,4,1,1,1
35,7,1,6,3,1,4,1
58,12,2,6,6,0,3,0
39,11,2,5,6,0,1,0
48,5,2,9,4,1,3,1
28,11,2,10,2,0,4,1
56,6,1,3,7,0,5,0
43,8,2,9,3,1,3,1
42,11,1,6,1,0,5,0
39,12,1,8,0,1,1,1
59,7,2,6,6,0,4,0
47,1,3,5,1,0,5,0
43,2,1,5,5,0,3,0
58,11,2,8,4,0,2,1
26,13,1,9,6,1,1,1
56,12,3,9,3,0,1,1
33,12,2,6,1,1,5,1
56,7,1,7,7,0,1,0
55,14,3,7,7,0,4,0
41,7,3,4,8,1,1,1
33,5,1,7,0,0,4,1
55,3,2,1,0,1,1,1
47,3,2,6,2,0,4,0
55,11,1,7,6,1,3,1
53,5,3,10,1,0,3,1
28,11,3,6,9,0,1,0
47,5,3,5,9,1,1,1
46,4,3,4,5,0,1,0
38,13,1,1,1,1,4,1
45,2,3,6,7,1,2,1
48,1,1,2,3,0,1,0
25,7,2,6,9,0,1,0
48,7,2,2,3,1,5,1
51,1,3,2,2,1,1,1
24,10,3,9,4,1,2,1
27,13,3,8,5,1,3,1
29,14,2,10,4,1,5,1
37,9,1,4,6,1,5,1
36,10,1,6,8,0,5,1
57,6,1,3,0,0,3,0
29,3,3,7,9,1,4,1
51,10,1,4,6,1,4,1
33,9,3,9,7,1,3,1
25,5,2,5,9,1,5,1
35,13,1,9,6,1,2,1
46,5,3,1,5,0,3,1
26,1,1,9,4,0,5,1
44,11,2,5,7,1,5,1
51,13,1,1,3,0,1,0
33,14,1,6,6,0,3,0
36,12,2,6,3,0,4,0
40,3,3,3,7,0,5,1
47,6,3,5,8,0,4,0
25,8,3,9,4,1,4,1
59,8,1,9,8,1,1,1
29,2,1,5,2,0,1,0
51,4,3,2,6,1,3,1
36,3,3,9,6,0,3,1
33,1,1,9,5,0,5,1
